TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2014-06-09,GAZP,32981,5851238809.2,144.0,143.03,146.2,144.4,145.02,144.4,40347300,3,0.30000000000000004,66.11505838394713
2014-06-10,GAZP,34667,5956066807.8,144.31,142.67,144.76,144.75,143.65,144.75,41460990,3,0.24,66.27530956424063
2014-06-11,GAZP,35615,5725373472.1,145.2,143.9,146.4,146.4,145.25,146.4,39418520,3,1.1400000000000001,67.0307794141957
2014-06-16,GAZP,54979,11134531747.3,144.0,142.58,145.27,145.2,144.29,145.2,77165360,3,-0.8200000000000001,66.48134679604655
2014-06-17,GAZP,37142,6436430233.0,145.3,143.72,146.37,144.77,145.06,144.77,44370530,3,-0.30000000000000004,66.28446677454312
2014-06-18,GAZP,31478,4832639667.8,144.79,144.43,146.19,145.0,145.25,145.0,33270240,3,0.16,66.38977469302169
2014-06-19,GAZP,44182,6552395455.3,146.4,145.04,147.69,145.2,146.68,145.2,44670940,3,0.14,66.48134679604655
2014-06-20,GAZP,27900,4907720591.4,145.05,144.28,145.88,145.6,145.29,145.6,33779020,3,0.28,66.66449100209627
2014-06-23,GAZP,33417,4963198922.4,146.2,145.07,147.27,147.17,146.31,147.17,33923270,3,1.08,67.38333201084139
2014-06-24,GAZP,79272,13200142387.4,147.65,147.56,153.42,153.25,150.78,153.25,87546740,3,4.13,70.16712394279706
2014-06-25,GAZP,51549,9973343107.4,152.48,149.01,154.21,149.26,151.39,149.26,65879300,3,-2.6,68.34026048745116
2014-06-26,GAZP,45393,7863811096.6,149.63,147.02,150.44,147.44,148.3,147.44,53026000,3,-1.22,67.50695434992495
2014-06-27,GAZP,35997,5138975884.3,148.0,147.22,149.88,149.39,148.68,149.39,34563280,3,1.32,68.39978235441731
2014-06-30,GAZP,33465,5186346628.8,149.81,146.58,150.18,148.96,148.09,148.96,35020610,3,-0.29,68.20290233291388
2014-07-01,GAZP,31247,5787329103.9,148.51,146.65,149.5,148.97,148.09,148.97,39080070,3,0.01,68.20748093806512
2014-07-02,GAZP,44417,7341929045.5,149.09,148.9,151.95,151.95,150.33,151.95,48839500,3,2.0,69.57190527313549
2014-07-03,GAZP,38013,7465358592.0,152.0,151.41,153.66,152.3,152.56,152.3,48933580,3,0.23,69.732156453429
2014-07-04,GAZP,33779,5775204168.7,153.0,148.25,153.09,149.13,151.21,149.13,38192290,3,-2.08,68.280738620485
2014-07-07,GAZP,34553,5162092985.1,149.1,149.09,151.4,150.31,150.49,150.31,34302070,3,0.79,68.82101402833166
2014-07-08,GAZP,48491,7613322488.2,150.53,150.52,153.53,151.43,152.25,151.43,50005770,3,0.75,69.33381780527087
2014-07-09,GAZP,37831,6635952229.4,151.11,149.01,151.77,150.4,150.45,150.4,44106880,3,-0.68,68.86222147469284
2014-07-10,GAZP,52403,8759399278.7,150.8,147.1,151.52,148.79,149.25,148.79,58690960,3,-1.07,68.12506604534273
2014-07-11,GAZP,34517,5330962084.1,148.85,146.91,149.25,148.15,148.06,148.15,36005010,3,-0.43,67.8320353156632
2014-07-14,GAZP,34414,5667338940.6,148.42,146.51,148.8,147.5,147.56,147.5,38407230,3,-0.44,67.53442598083241
2014-07-15,GAZP,42893,8138996571.9,147.8,146.52,148.37,146.52,147.55,146.52,55159950,3,-0.66,67.08572267601062
2014-07-16,GAZP,52341,7927024503.9,140.35,140.1,143.1,142.5,141.7,142.5,55942320,3,-2.74,68.61696440806425
2014-07-17,GAZP,50321,8583925881.7,140.23,138.23,141.0,140.0,139.46,140.0,61550720,3,-1.75,67.41315801494032
2014-07-18,GAZP,45494,7358496662.9,138.0,136.5,139.41,139.26,137.86,139.26,53377680,3,-0.53,67.05683132257563
2014-07-21,GAZP,43305,6390851583.4,140.3,135.2,140.44,136.01,136.74,136.01,46735750,3,-2.33,65.49188301151452
2014-07-22,GAZP,35295,4887545802.1,136.82,136.05,138.87,137.75,137.65,137.75,35508000,3,1.28,66.32973226112878
2014-07-23,GAZP,34240,4890084830.5,138.2,135.2,139.0,136.29,136.98,136.29,35700000,3,-1.06,65.6267093275444
2014-07-24,GAZP,26979,3183710555.3,136.0,135.15,137.36,136.9,136.37,136.9,23345280,3,0.45,65.92043808746665
2014-07-25,GAZP,37065,4798740012.8,136.5,134.22,136.83,135.12,135.13,135.12,35511270,3,-1.3,65.0633279355624
2014-07-28,GAZP,39961,5948981163.4,134.54,130.9,134.73,132.0,132.48,132.0,44904250,3,-2.31,63.56097755694373
2014-07-29,GAZP,38600,4871728490.2,132.08,130.55,133.73,131.31,132.15,131.31,36865680,3,-0.52,63.22872699244152
2014-07-30,GAZP,39640,5699315652.3,130.47,130.1,135.41,133.4,133.76,133.4,42608490,3,1.5899999999999999,64.23510913709313
2014-07-31,GAZP,37623,5473031665.5,134.12,131.21,135.0,132.0,132.88,132.0,41187230,3,-1.05,63.56097755694373
2014-08-01,GAZP,29398,4164787329.3,130.95,130.21,131.99,131.5,131.13,131.5,31759700,3,-0.38,63.320216278318945
2014-08-04,GAZP,40238,5800246719.4,132.0,128.25,132.79,129.5,130.24,129.5,44534400,3,-1.52,62.35717116381979
2014-08-05,GAZP,40424,5927059510.1,129.99,126.28,130.1,126.57,127.65,126.57,46432510,3,-2.26,60.94631007107854
2014-08-06,GAZP,54259,8516305360.6,126.11,123.23,126.5,124.7,124.59,124.7,68355310,3,-1.48,60.04586288902184
2014-08-07,GAZP,56882,8035675333.8,124.02,122.79,128.77,126.92,125.12,126.92,64225030,3,1.78,61.114842966115894
2014-08-08,GAZP,67693,7208992963.7,126.48,126.33,129.37,126.55,128.09,126.55,56280080,3,-0.29,60.93667961993355
2014-08-11,GAZP,51576,5563041254.1,128.01,127.84,130.45,128.3,128.94,128.3,43145400,3,1.38,61.779344095120315
2014-08-12,GAZP,34979,4899509934.0,128.95,127.24,129.95,128.0,128.44,128.0,38147150,3,-0.23,61.634887327945435
2014-08-13,GAZP,47362,7484888814.2,127.8,127.7,131.84,131.0,130.43,131.0,57387480,3,2.34,63.07945499969416
2014-08-14,GAZP,36250,5702388599.6,131.2,130.34,132.49,131.41,131.35,131.41,43412620,3,0.31,63.27687924816648
2014-08-15,GAZP,31793,5645222591.1,131.02,130.62,133.47,132.67,132.28,132.67,42674890,3,0.96,63.88359767030094
2014-08-18,GAZP,24659,3819335867.5,132.82,132.11,134.4,134.29,133.55,134.29,28598600,3,1.22,64.66366421304525
2014-08-19,GAZP,34990,5236730805.7,134.29,134.28,136.4,136.2,135.51,136.2,38645630,3,1.42,65.58337229739193
2014-08-20,GAZP,21313,3050935774.3,136.2,135.16,136.8,136.7,136.09,136.7,22419120,3,0.37,65.82413357601672
2014-08-21,GAZP,34272,4764128532.0,136.51,135.55,137.69,136.49,136.65,136.49,34863190,3,-0.15,65.72301383899432
2014-08-22,GAZP,33807,5169448385.9,136.56,134.0,137.2,135.0,135.07,135.0,38272800,3,-1.09,65.00554522869245
2014-08-25,GAZP,21123,2261117318.6,135.06,135.0,136.46,136.09,135.89,136.09,16639450,3,0.81,65.53040481609449
2014-08-26,GAZP,25386,3691233173.1,136.19,134.71,136.99,135.0,135.93,135.0,27154630,3,-0.8,65.00554522869245
2014-08-27,GAZP,23629,3397133661.4,135.9,135.12,136.67,135.51,135.94,135.51,24990540,3,0.38,65.25112173288973
2014-08-28,GAZP,43025,6352776119.9,135.51,131.94,135.74,133.8,133.38,133.8,47627370,3,-1.26,64.42771815999296
2014-08-29,GAZP,30806,4749572569.8,133.5,131.81,134.17,131.95,132.93,131.95,35728900,3,-1.38,63.53690142908125
2014-09-01,GAZP,38658,5530810751.5,132.71,131.0,134.75,132.32,132.91,132.32,41613580,3,0.28,63.71506477526359
2014-09-02,GAZP,22069,3381374723.8,132.68,131.34,133.32,133.32,132.38,133.32,25543730,3,0.76,64.19658733251316
2014-09-03,GAZP,66694,8868576725.8,133.42,133.33,139.63,138.26,137.51,138.26,64491970,3,3.71,66.57530876532606
2014-09-04,GAZP,39339,5974666515.2,138.3,136.8,139.29,138.15,137.95,138.15,43311610,3,-0.08,66.52234128402861
2014-09-05,GAZP,37383,5172057768.9,137.28,136.36,140.13,139.0,138.78,139.0,37267050,3,0.62,66.93163545769075
2014-09-08,GAZP,29653,4349613611.1,138.79,136.87,139.38,139.0,138.28,139.0,31454520,3,0.0,66.93163545769075
2014-09-09,GAZP,26795,3719342102.0,139.29,138.86,140.82,139.02,139.76,139.02,26611960,3,0.01,66.94126590883575
2014-09-10,GAZP,21395,2835967889.2,138.39,137.62,139.4,139.2,138.74,139.2,20441450,3,0.13,67.02793996914066
2014-09-11,GAZP,38455,4768604028.4,139.69,136.51,140.28,136.65,137.98,136.65,34559170,3,-1.83,65.80005744815425
2014-09-12,GAZP,33961,4808871662.2,136.5,136.0,138.56,137.56,137.44,137.56,34988310,3,0.67,66.23824297525137
2014-09-15,GAZP,40490,5545696158.0,137.26,135.35,138.12,136.0,136.2,136.0,40717130,3,-1.13,65.48706778594203
2014-09-16,GAZP,44386,5576171161.8,136.01,135.26,139.58,138.56,137.92,138.56,40431640,3,1.88,66.71976553250093
2014-09-17,GAZP,35138,5456884601.4,138.5,136.05,139.34,137.0,137.25,137.0,39757700,3,-1.13,65.9685903431916
2014-09-18,GAZP,24467,4024999407.9,137.25,136.51,138.4,138.2,137.62,138.2,29247410,3,0.88,66.54641741189108
2014-09-19,GAZP,42279,6151334689.3,138.0,134.48,138.0,135.99,136.38,135.99,45103990,3,-1.6,65.48225256036953
2014-09-22,GAZP,27142,3701730028.5,135.76,134.6,136.83,135.05,135.8,135.05,27258240,3,-0.6900000000000001,65.02962135655494
2014-09-23,GAZP,27323,3971163511.0,135.55,135.47,137.2,136.5,136.27,136.5,29141830,3,1.07,65.7278290645668
2014-09-24,GAZP,28081,4450427006.6,136.99,136.88,138.65,137.8,137.9,137.8,32271690,3,0.9500000000000001,66.35380838899127
2014-09-25,GAZP,25655,4350884089.8,138.28,136.52,138.96,136.92,138.07,136.92,31511120,3,-0.64,65.93006853861162
2014-09-26,GAZP,30931,4778087287.7,136.51,135.71,137.95,137.11,136.81,137.11,34925980,3,0.14,66.02155782448907
2014-09-29,GAZP,34813,5067872051.0,138.0,135.0,138.57,135.77,137.02,135.77,36985740,3,-0.98,65.37631759777463
2014-09-30,GAZP,46974,6905059785.2,136.27,135.14,139.13,137.9,137.38,137.9,50261030,3,1.57,66.40196064471621
2014-10-01,GAZP,30126,5174974593.3,137.5,137.12,139.86,137.26,138.37,137.26,37398300,3,-0.46,66.09378620807648
2014-10-02,GAZP,41368,5717475752.0,136.8,133.7,137.44,134.25,135.34,134.25,42243810,3,-2.19,64.64440331075527
2014-10-03,GAZP,32107,4388627906.9,134.97,134.87,138.07,135.8,136.4,135.8,32174540,3,1.15,65.39076327449212
2014-10-06,GAZP,34497,5717171331.5,136.61,136.61,139.63,138.9,138.36,138.9,41322460,3,2.2800000000000002,66.88348320196579
2014-10-07,GAZP,26921,3979566524.8,139.01,136.8,139.5,137.1,137.82,137.1,28875580,3,-1.3,66.01674259891655
2014-10-08,GAZP,34019,4684094079.7,136.19,134.61,137.0,134.61,135.9,134.61,34466460,3,-1.82,64.81775143136512
2014-10-09,GAZP,37865,5134300338.5,136.2,134.55,137.26,135.64,135.94,135.64,37768210,3,0.77,65.31371966533217
2014-10-10,GAZP,38884,5677475679.9,134.3,132.09,134.6,133.21,133.28,133.21,42598080,3,-1.79,64.14361985121572
2014-10-13,GAZP,32352,4175994087.1,133.0,132.32,136.4,135.25,135.04,135.25,30923230,3,1.53,65.12592586800484
2014-10-14,GAZP,35289,4847741560.8,135.3,134.51,136.92,135.5,135.76,135.5,35709120,3,0.18,65.24630650731724
2014-10-15,GAZP,35379,4370181956.4,134.9,134.25,136.48,134.5,135.2,134.5,32324170,3,-0.74,64.76478395006767
2014-10-16,GAZP,50852,6426483004.3,135.0,131.93,135.59,132.41,133.93,132.41,47983260,3,-1.55,63.75840180541606
2014-10-17,GAZP,33943,4043868027.2,133.5,133.01,135.4,134.6,134.46,134.6,30074200,3,1.65,64.81293620579262
2014-10-20,GAZP,36815,4320487086.2,135.2,133.14,136.18,134.1,134.52,134.1,32118700,3,-0.37,64.57217492716784
2014-10-21,GAZP,29450,3333233335.3,134.0,132.94,134.95,134.0,134.14,134.0,24848020,3,-0.07,64.52402267144288
2014-10-22,GAZP,35874,4329093979.6,134.51,132.25,134.66,133.5,133.45,133.5,32439110,3,-0.37,64.28326139281809
2014-10-23,GAZP,38485,4808424492.9,132.51,131.42,134.15,133.5,132.75,133.5,36223010,3,0.0,64.28326139281809
2014-10-24,GAZP,23148,3246171800.7,133.5,132.35,134.3,133.99,133.19,133.99,24372990,3,0.37,64.51920744587039
2014-10-27,GAZP,33579,4263702983.1,135.0,133.5,136.05,134.07,134.91,134.07,31605210,3,0.06,64.55772925045035
2014-10-28,GAZP,27201,3782634259.9,134.62,134.1,136.14,135.75,135.56,135.75,27903910,3,1.25,65.36668714662963
2014-10-29,GAZP,49926,6594814220.5,136.21,135.67,139.0,138.5,137.52,138.5,47956500,3,2.03,66.69087417906596
2014-10-30,GAZP,53358,7589500301.4,138.09,137.62,139.9,139.5,138.92,139.5,54633270,3,0.72,67.17239673631553
2014-10-31,GAZP,72794,10113564234.6,140.5,139.49,141.5,141.5,140.52,141.5,71971660,3,1.43,68.13544185081469
2014-11-03,GAZP,21927,2806437113.9,141.0,140.26,144.0,143.39,142.74,143.39,19660650,3,1.34,69.04551948401637
2014-11-05,GAZP,47150,6712207393.2,143.01,141.11,143.82,143.2,142.58,143.2,47075250,3,-0.13,68.95403019813895
2014-11-06,GAZP,53731,8066683667.6,143.35,143.05,146.25,144.1,144.78,144.1,55716700,3,0.63,69.38740049966357
2014-11-07,GAZP,84648,12732566799.0,143.5,142.73,147.0,144.5,145.03,144.5,87793540,3,0.28,69.5800095225634
2014-11-10,GAZP,33569,4649038287.7,145.45,144.35,146.46,145.22,145.26,145.22,32004800,3,0.5,69.92670576378309
2014-11-11,GAZP,36740,5864693999.3,145.0,143.01,145.69,143.71,144.93,143.71,40466110,3,-1.04,69.19960670233624
2014-11-12,GAZP,30450,4553731581.4,144.14,143.0,145.6,143.57,144.17,143.57,31585430,3,-0.1,69.1321935443213
2014-11-13,GAZP,33017,4885752510.0,143.7,141.51,144.45,141.84,142.93,141.84,34181920,3,-1.2,68.29915952027953
2014-11-14,GAZP,35183,4971456441.6,141.5,141.0,143.35,142.49,142.16,142.49,34971670,3,0.46,68.61214918249176
2014-11-17,GAZP,23708,3066044183.3,142.47,141.91,143.48,142.67,142.78,142.67,21473850,3,0.13,68.69882324279668
2014-11-18,GAZP,32542,4308641777.0,143.1,141.53,144.01,143.2,142.69,143.2,30196660,3,0.37,68.95403019813895
2014-11-19,GAZP,21733,2908010462.1,143.21,142.67,144.38,143.98,143.78,143.98,20225140,3,0.54,69.32961779279361
2014-11-20,GAZP,30399,4582322287.3,144.22,143.22,145.11,144.48,144.31,144.48,31754200,3,0.35000000000000003,69.5703790714184
2014-11-21,GAZP,37317,4949911809.3,144.51,143.61,145.99,145.01,144.96,145.01,34146350,3,0.37,69.82558602676067
2014-11-24,GAZP,29385,4276581273.5,145.76,143.82,146.0,144.7,144.68,144.7,29558390,3,-0.21,69.67631403401332
2014-11-25,GAZP,24510,3691973028.6,144.5,143.59,145.39,144.13,144.53,144.13,25545000,3,-0.39,69.40184617638106
2014-11-26,GAZP,27595,3999680716.1,144.0,143.68,145.5,145.5,144.48,145.5,27683500,3,0.9500000000000001,70.06153207981298
2014-11-27,GAZP,39740,6431856824.4,145.33,143.12,145.89,143.19,145.1,143.19,44326410,3,-1.5899999999999999,68.94921497256645
2014-11-28,GAZP,44386,6254217126.9,143.0,142.0,144.2,142.86,143.37,142.86,43623690,3,-0.23,68.79031252867411
2014-12-01,GAZP,64603,10783455129.2,142.4,142.37,146.12,144.1,144.7,144.1,74522900,3,0.87,69.38740049966357
2014-12-02,GAZP,46889,6481392809.7,144.41,143.55,146.41,144.91,145.0,144.91,44697870,3,0.56,69.77743377103573
2014-12-03,GAZP,49198,7048084179.9,145.53,144.42,146.4,146.23,145.41,146.23,48469440,3,0.91,70.41304354660515
