TRADEDATE,SECID,CLOSE,VALUE,CAPITALIZATION
2011-12-15,IMOEX,1393.61,76153503218.0,6275159765419.83
2011-12-16,IMOEX,1383.42,49141462806.0,4754771162030.66
2011-12-19,IMOEX,1382.88,46562572674.0,4752921191016.31
2011-12-20,IMOEX,1409.84,45450600122.0,4845586154124.71
2011-12-21,IMOEX,1385.17,54553336937.0,4760800358619.16
2011-12-22,IMOEX,1385.66,37519330039.0,4762472059027.97
2011-12-23,IMOEX,1376.11,29755147263.0,4729649755159.02
2011-12-26,IMOEX,1390.08,17254048626.0,4777651360569.46
2011-12-27,IMOEX,1386.14,17835794002.0,4764120078416.37
2011-12-28,IMOEX,1383.09,19888145905.0,4753634058888.2
2011-12-29,IMOEX,1387.06,27416428545.0,4767287480323.4
2011-12-30,IMOEX,1402.23,20411358765.0,4819443207651.89
2012-01-03,IMOEX,1444.76,21846991156.0,4965630549005.85
2012-01-04,IMOEX,1447.59,25173225493.0,4975346178160.78
2012-01-05,IMOEX,1434.91,25772995792.0,4931753334999.04
2012-01-06,IMOEX,1440.6,22594474240.0,4951294576225.56
2012-01-09,IMOEX,1448.36,19440445631.0,4977969213369.82
2012-01-10,IMOEX,1476.88,52819039306.0,5075974794462.17
2012-01-11,IMOEX,1465.47,52350051347.0,5036758295819.77
2012-01-12,IMOEX,1464.53,50758475447.0,5033534239425.04
2012-01-13,IMOEX,1463.43,43929387954.0,5029752494876.38
2012-01-16,IMOEX,1464.42,30543391776.0,5033139373415.01
2012-01-17,IMOEX,1486.34,46993957569.0,5108469713925.3
2012-01-18,IMOEX,1493.7,40442018349.0,5133758532024.12
2012-01-19,IMOEX,1503.7,52688523320.0,5168135301631.92
2012-01-20,IMOEX,1491.15,40655926557.0,5125000187981.76
2012-01-23,IMOEX,1499.27,49849493681.0,5152912111420.27
2012-01-24,IMOEX,1488.7,40430866721.0,5116600104723.56
2012-01-25,IMOEX,1498.79,59216784200.0,5214989287356.26
2012-01-26,IMOEX,1514.72,74005931406.0,5270434081083.5
2012-01-27,IMOEX,1508.04,48969878518.0,5247204200539.86
2012-01-30,IMOEX,1496.3,40653349591.0,5206352751593.32
2012-01-31,IMOEX,1514.03,44127280525.0,5268042205081.54
2012-02-01,IMOEX,1539.36,57673700904.0,5356181518033.58
2012-02-02,IMOEX,1542.39,63613598617.0,5366721575153.73
2012-02-03,IMOEX,1564.82,46614504841.0,5444776499241.05
2012-02-06,IMOEX,1562.87,43973537031.0,5437987771373.53
2012-02-07,IMOEX,1549.49,45640558300.0,5391449549854.25
2012-02-08,IMOEX,1555.11,54586696126.0,5411018161525.26
2012-02-09,IMOEX,1541.64,65198894778.0,5364145168163.13
2012-02-10,IMOEX,1525.17,45049912397.0,5306822284680.0
2012-02-13,IMOEX,1559.21,46904541363.0,5425252319965.93
2012-02-14,IMOEX,1562.13,46290578631.0,5435421118068.11
2012-02-15,IMOEX,1579.38,48064288337.0,5495436938736.04
2012-02-16,IMOEX,1570.36,45143909637.0,0.0
2012-02-17,IMOEX,1568.54,38704227305.0,5457713794934.59
2012-02-20,IMOEX,1579.19,26595366054.0,5494772666086.02
2012-02-21,IMOEX,1558.98,36615979822.0,5424439047586.98
2012-02-22,IMOEX,1538.17,44579188473.0,5352029819746.0
2012-02-24,IMOEX,1594.55,68178387292.0,5548201454135.41
2012-02-27,IMOEX,1592.66,52857527707.0,5541628546812.95
2012-02-28,IMOEX,1574.1,48079238039.0,5477044964313.73
2012-02-29,IMOEX,1597.67,47129366174.0,5559041334958.86
2012-03-01,IMOEX,1595.78,45269918242.0,5552460683830.66
2012-03-02,IMOEX,1608.08,50437285412.0,5595241211384.46
2012-03-05,IMOEX,1625.74,50293532749.0,5656688832626.55
2012-03-06,IMOEX,1562.19,66123829581.0,5435573197806.77
2012-03-07,IMOEX,1572.83,47408963776.0,5472594810554.08
2012-03-11,IMOEX,1606.33,18758906881.0,5589147093320.07
2012-03-12,IMOEX,1604.26,52708606943.0,5581930761609.05
2012-03-13,IMOEX,1611.88,42953542739.0,5608433889000.73
2012-03-14,IMOEX,1631.15,70769066017.0,5675487300387.76
2012-03-15,IMOEX,1626.63,82607431473.0,5659757402958.3
2012-03-16,IMOEX,1618.99,47474157713.0,5633184371143.37
2012-03-19,IMOEX,1586.41,53096495395.0,5519814217565.79
2012-03-20,IMOEX,1558.65,49338926228.0,5423220198146.9
2012-03-21,IMOEX,1551.78,53514555354.0,5399314700477.23
2012-03-22,IMOEX,1529.51,49260259950.0,5321840227981.13
2012-03-23,IMOEX,1540.97,41458394213.0,5361725766855.96
2012-03-26,IMOEX,1565.12,43852687489.0,5445766586678.76
2012-03-27,IMOEX,1554.28,43195737249.0,5408054942652.4
2012-03-28,IMOEX,1520.37,54738661510.0,5290069091133.9
2012-03-29,IMOEX,1494.86,52953545320.0,5201321495585.01
2012-03-30,IMOEX,1517.34,57155909764.0,5279539278389.05
2012-04-02,IMOEX,1521.9,39796798364.0,5295398179036.99
2012-04-03,IMOEX,1550.05,50609788432.0,5393349984416.45
2012-04-04,IMOEX,1512.88,49419655243.0,5264014449951.53
2012-04-05,IMOEX,1525.11,49910211991.0,5306568502208.37
2012-04-06,IMOEX,1497.19,27670625049.0,5209411873277.4
2012-04-09,IMOEX,1510.49,35720636253.0,5255699394666.91
2012-04-10,IMOEX,1498.07,45764031055.0,5212483835979.68
2012-04-11,IMOEX,1505.77,45388217716.0,5239275939997.12
2012-04-12,IMOEX,1501.63,44731635017.0,5224869687759.54
2012-04-13,IMOEX,1502.65,46577474791.0,5228426632317.48
2012-04-16,IMOEX,1477.71,47075366558.0,5141661425994.35
2012-04-17,IMOEX,1471.61,49187076314.0,5120425698513.06
2012-04-18,IMOEX,1468.55,36087306205.0,5109772863109.23
2012-04-19,IMOEX,1496.6,49734922245.0,5207373896260.87
2012-04-20,IMOEX,1505.1,36868073179.0,5236950741843.93
2012-04-23,IMOEX,1466.34,37386217719.0,5102079632122.61
2012-04-24,IMOEX,1457.4,36069824273.0,5070959952876.97
2012-04-25,IMOEX,1461.85,29679781916.0,5095470392958.37
2012-04-26,IMOEX,1447.06,32817093575.0,5043919804168.41
2012-04-27,IMOEX,1469.65,37361054686.0,5122646194772.86
2012-04-28,IMOEX,1473.5,6788417446.0,5136069097818.93
2012-05-02,IMOEX,1446.04,36362109468.0,5040367427375.07
2012-05-03,IMOEX,1442.71,31361723389.0,5028774477061.14
2012-05-04,IMOEX,1391.14,48246072903.0,4849031588777.95
2012-05-05,IMOEX,1386.41,9224151807.0,4832539854266.19
2012-05-07,IMOEX,1385.14,20379422160.0,4828096037143.81
2012-05-08,IMOEX,1384.02,23998970651.0,4824208666688.1
2012-05-10,IMOEX,1408.31,43668958339.0,4908879645009.96
2012-05-11,IMOEX,1392.0,38007364530.0,4852030532412.44
2012-05-12,IMOEX,1385.81,8475797461.0,4830446682494.3
2012-05-14,IMOEX,1337.42,35937866324.0,4661763383598.58
2012-05-15,IMOEX,1344.75,49134895876.0,4687308585096.63
2012-05-16,IMOEX,1335.1,47803165861.0,4653676989948.3
2012-05-17,IMOEX,1287.79,60633090032.0,4488757791361.17
2012-05-18,IMOEX,1271.48,66049479222.0,4431911626197.07
2012-05-21,IMOEX,1298.42,41201449704.0,4525827735719.6
2012-05-22,IMOEX,1301.09,40854757500.0,4535149772279.82
2012-05-23,IMOEX,1256.55,42503131767.0,4379891491068.92
2012-05-24,IMOEX,1284.48,45553823274.0,4477262805614.66
2012-05-25,IMOEX,1281.6,34956547104.0,4467228945038.34
2012-05-28,IMOEX,1290.72,23462175171.0,4499008919153.89
2012-05-29,IMOEX,1327.08,45589788218.0,4625757074120.52
2012-05-30,IMOEX,1308.3,48129228968.0,4560282392849.8
2012-05-31,IMOEX,1306.42,54601405503.0,4553732744081.26
2012-06-01,IMOEX,1298.08,48508107878.0,4524665859439.44
2012-06-04,IMOEX,1305.86,36169845893.0,4551801247099.8
2012-06-05,IMOEX,1297.04,32245572754.0,4521072171844.19
2012-06-06,IMOEX,1313.21,42056913187.0,4577452880736.62
2012-06-07,IMOEX,1336.33,50695785461.0,4658048765010.41
2012-06-08,IMOEX,1332.92,36659012540.0,4646165276806.33
2012-06-09,IMOEX,1338.07,7978542999.0,4664125023179.55
2012-06-13,IMOEX,1346.43,34777482739.0,4693264989079.22
2012-06-14,IMOEX,1346.04,23132867593.0,4691898063961.3
2012-06-15,IMOEX,1375.23,52715908488.0,4793628603444.79
2012-06-18,IMOEX,1389.0,41939786652.0,4841635531386.72
2012-06-19,IMOEX,1389.97,34001770021.0,4845029012606.81
2012-06-20,IMOEX,1374.69,27417151154.0,4791754981798.27
2012-06-21,IMOEX,1363.58,34779681848.0,4753027211547.39
2012-06-22,IMOEX,1347.15,29599577603.0,4695766435720.39
2012-06-25,IMOEX,1330.15,25309199841.0,4636526374192.17
2012-06-26,IMOEX,1342.82,25548534664.0,4680698545280.06
2012-06-27,IMOEX,1365.93,29308453335.0,4761268541318.0
2012-06-28,IMOEX,1342.91,31084743183.0,4681014312080.78
2012-06-29,IMOEX,1387.52,40405194795.0,4836500383185.35
2012-07-02,IMOEX,1402.74,32075565380.0,4889539693186.2
2012-07-03,IMOEX,1437.45,42130248933.0,5010516471380.22
2012-07-04,IMOEX,1444.31,23896868175.0,5034423327404.55
2012-07-05,IMOEX,1435.76,45595270548.0,5004627873367.39
2012-07-06,IMOEX,1414.28,30629253155.0,4929768189299.26
2012-07-09,IMOEX,1414.62,23865144680.0,4930962651142.7
2012-07-10,IMOEX,1422.58,33267759584.0,4958722977622.88
2012-07-11,IMOEX,1405.15,32309527017.0,4897951906466.36
2012-07-12,IMOEX,1394.3,28644730571.0,4860148283139.68
2012-07-13,IMOEX,1416.5,25957967093.0,4937532254520.35
2012-07-16,IMOEX,1422.03,22242057039.0,4956823673167.23
2012-07-17,IMOEX,1430.17,32078110357.0,4985189506585.03
2012-07-18,IMOEX,1426.29,22520668039.0,4971651374638.36
2012-07-19,IMOEX,1434.47,30128051758.0,5000177785139.36
2012-07-20,IMOEX,1415.38,22531691383.0,4933650145410.98
2012-07-23,IMOEX,1372.97,38794956248.0,4785821559426.11
2012-07-24,IMOEX,1365.75,32168009496.0,4760671400802.38
2012-07-25,IMOEX,1367.67,40477981280.0,4736384329010.5
2012-07-26,IMOEX,1384.06,34852287288.0,4793131377343.43
2012-07-27,IMOEX,1406.3,30161963297.0,4870167633464.54
2012-07-30,IMOEX,1428.62,27312970933.0,4947465539189.61
2012-07-31,IMOEX,1407.02,30229109886.0,4872650253535.99
2012-08-01,IMOEX,1411.85,24898007704.0,4889369866042.2
2012-08-02,IMOEX,1397.05,41834297637.0,4838130579930.84
2012-08-03,IMOEX,1421.28,31056207209.0,4922026707600.98
2012-08-06,IMOEX,1439.06,42205277601.0,4983592755943.4
2012-08-07,IMOEX,1450.74,32771971594.0,5024028139334.33
2012-08-08,IMOEX,1449.49,26877497696.0,5019713907612.86
2012-08-09,IMOEX,1456.41,32540971264.0,5043671947925.64
2012-08-10,IMOEX,1441.59,26218308862.0,4992357548669.47
2012-08-13,IMOEX,1452.42,27546130652.0,5029866812725.63
2012-08-14,IMOEX,1462.57,23069890718.0,5065028818744.18
2012-08-15,IMOEX,1448.32,31141735775.0,5015678440867.48
2012-08-16,IMOEX,1451.87,22756401760.0,5027975072771.64
2012-08-17,IMOEX,1444.27,20131946036.0,5001652965870.89
2012-08-20,IMOEX,1428.75,24790044372.0,4947917426263.08
2012-08-21,IMOEX,1454.48,28535425178.0,5037030015762.99
2012-08-22,IMOEX,1446.84,20857103179.0,5010561019061.52
2012-08-23,IMOEX,1453.5,38210654344.0,5033636333165.06
2012-08-24,IMOEX,1454.08,25024556725.0,5035660161953.79
2012-08-27,IMOEX,1448.57,17647167287.0,5016594896134.18
2012-08-28,IMOEX,1450.81,29881680597.0,5024343646631.23
2012-08-29,IMOEX,1437.14,30424834827.0,4976997220798.52
2012-08-30,IMOEX,1429.82,24132851340.0,4951637527703.21
2012-08-31,IMOEX,1422.91,30699065531.0,4927696264259.03
2012-09-03,IMOEX,1439.31,20054947166.0,4984477379873.72
2012-09-04,IMOEX,1436.52,21884579647.0,4974826251508.26
2012-09-05,IMOEX,1421.62,25546544592.0,4923219732996.16
2012-09-06,IMOEX,1455.07,36329124073.0,5039072998756.98
2012-09-07,IMOEX,1474.58,54152665498.0,5106630151526.1
2012-09-10,IMOEX,1478.83,29807592997.0,5121347815351.25
2012-09-11,IMOEX,1478.05,26561792768.0,5118643653755.75
2012-09-12,IMOEX,1478.54,33286434342.0,5120351424009.33
2012-09-13,IMOEX,1472.6,23828840263.0,5099765585848.23
2012-09-14,IMOEX,1535.38,90112317057.0,5317191305369.96
2012-09-17,IMOEX,1530.36,62933443570.0,5299801827976.1
2012-09-18,IMOEX,1515.3,42280100398.0,4185554839416.07
2012-09-19,IMOEX,1499.12,69341109017.0,4140872571000.71
2012-09-20,IMOEX,1499.28,45844690411.0,4141326996761.36
2012-09-21,IMOEX,1496.65,39365162955.0,4134070655430.73
2012-09-24,IMOEX,1489.92,24348238193.0,4115469857834.46
2012-09-25,IMOEX,1482.61,27226514774.0,4095275977516.79
2012-09-26,IMOEX,1445.38,37405253520.0,3992440017246.84
2012-09-27,IMOEX,1453.09,32135228452.0,4013738290396.02
2012-09-28,IMOEX,1458.26,31960274442.0,4028017117866.5
2012-10-01,IMOEX,1490.21,30514565160.0,4116261706372.08
2012-10-02,IMOEX,1485.63,28379370098.0,4103604752824.13
2012-10-03,IMOEX,1472.5,28665590569.0,4067347575730.61
2012-10-04,IMOEX,1456.74,30702638965.0,4023815454092.52
2012-10-05,IMOEX,1477.6,32725319475.0,4081432723594.38
2012-10-08,IMOEX,1473.61,22033548287.0,4070414495676.01
2012-10-09,IMOEX,1472.94,24503193510.0,4068574011075.29
2012-10-10,IMOEX,1460.93,24056439742.0,4035409442041.3
2012-10-11,IMOEX,1463.12,23118989557.0,4041449089137.82
2012-10-12,IMOEX,1446.01,25310507037.0,3994174789703.68
2012-10-15,IMOEX,1443.42,19812680888.0,3987027770464.58
2012-10-16,IMOEX,1456.07,25166791235.0,4021972286938.07
2012-10-17,IMOEX,1474.3,34690713774.0,4072331061656.16
