TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2013-03-26,LKOH,24,7035671.0,1920.5,1919.8,1944.5,1938.7,1926.0,1944.5,3653,3,1.17,951.7697776447395
2013-03-27,LKOH,19,3738545.3,1942.3,1930.0,1971.2,1970.5,1943.1,1969.7,1924,3,1.3,964.1043615463325
2013-03-28,LKOH,33,6719742.2,1958.8,1958.5,1994.6,1994.6,1977.6,1993.2,3398,3,1.19,975.606850502183
2013-03-29,LKOH,25,3814674.4,1999.1,1996.2,2003.7,2003.1,1999.3,2003.4,1908,3,0.51,980.5994201766373
2013-04-01,LKOH,177,41558417.2,1993.4,1978.2,1998.4,1976.6,1989.5,1978.2,20889,3,-1.26,968.2648362750443
2013-04-02,LKOH,65,13848330.2,1983.0,1982.9,2002.2,1989.4,1989.4,2002.2,6961,3,1.21,980.0120590384662
2013-04-03,LKOH,97,25643878.3,1990.0,1976.0,2001.1,1973.8,1988.7,1978.9,12895,3,-1.16,968.6074636056442
2013-04-04,LKOH,57,14390882.2,1970.0,1963.4,1984.3,1966.4,1970.8,1966.9,7302,3,-0.61,962.7338522239332
2013-04-05,LKOH,93,30225812.7,1967.3,1936.8,1977.2,1935.7,1951.1,1942.8,15492,3,-1.23,950.9376826989972
2013-04-08,LKOH,55,17523939.6,1948.9,1920.0,1957.5,1920.6,1943.0,1924.3,9019,3,-0.9500000000000001,941.8825318188594
2013-04-09,LKOH,56,16214323.5,1927.2,1927.2,1965.9,1961.0,1942.3,1965.9,8348,3,2.16,962.2443846087907
2013-04-10,LKOH,83,24843089.6,1963.7,1940.0,1967.7,1945.4,1956.9,1942.3,12695,3,-1.2,950.6929488914259
2013-04-11,LKOH,145,38555939.8,1947.9,1906.5,1947.9,1924.1,1927.0,1920.0,20008,3,-1.15,939.7778210737464
2013-04-12,LKOH,63,19024040.7,1923.4,1916.6,1935.0,1929.0,1925.5,1934.4,9880,3,0.75,946.8261547317995
2013-04-15,LKOH,124,41346351.3,1931.4,1883.0,1931.4,1889.6,1906.9,1886.0,21683,3,-2.5,923.1359221588988
2013-04-16,LKOH,45,12425067.4,1884.3,1883.3,1909.3,1900.4,1898.4,1899.4,6545,3,0.71,929.6947882018094
2013-04-17,LKOH,91,26628018.2,1894.0,1874.9,1900.0,1902.2,1890.9,1892.3,14082,3,-0.37,926.219568134297
2013-04-18,LKOH,88,22931619.6,1915.0,1893.9,1920.3,1894.1,1908.6,1893.9,12015,3,0.08,927.0027163185252
2013-04-19,LKOH,60,16245508.5,1900.5,1858.3,1904.3,1881.7,1878.7,1887.6,8647,3,-0.33,923.9190703431269
2013-04-22,LKOH,86,23217067.7,1898.9,1849.7,1906.5,1860.1,1883.7,1849.7,12325,3,-2.01,905.3682477292233
2013-04-23,LKOH,91,27440332.5,1853.6,1848.1,1898.9,1899.1,1860.1,1890.6,14752,3,2.21,925.3874731885546
2013-04-24,LKOH,120,30493040.5,1903.8,1903.8,1964.4,1963.9,1936.6,1963.5,15746,3,3.86,961.0696623324485
2013-04-25,LKOH,227,64036681.7,1965.0,1935.0,1965.0,1957.4,1951.8,1960.0,32809,3,-0.18,959.3565256794494
2013-04-26,LKOH,360,87621881.1,1950.6,1942.7,1978.1,1960.8,1961.3,1965.5,44675,3,0.28,962.0485975627337
2013-04-29,LKOH,147,35511565.2,1965.3,1930.4,1972.7,1929.4,1955.7,1935.9,18158,3,-1.51,947.5603561545134
2013-04-30,LKOH,186,53989438.0,1934.9,1931.9,1974.0,1970.3,1945.8,1963.8,27747,3,1.44,961.2165026169912
2013-05-02,LKOH,260,77662701.1,1972.3,1965.6,1993.5,1976.7,1977.6,1974.7,39271,3,0.56,966.5516996220454
2013-05-03,LKOH,363,88556980.8,1995.0,1967.4,2008.7,2003.1,1988.0,2008.7,44545,3,1.72,983.193598536893
2013-05-06,LKOH,607,95671093.7,2007.3,2002.5,2016.8,2014.9,2012.1,2016.6,47547,3,0.39,987.0603926965192
2013-05-07,LKOH,287,71687128.8,2011.2,2008.1,2038.0,2038.2,2021.7,2038.0,35459,3,1.06,997.5349996605704
2013-05-08,LKOH,235,70717416.7,2039.3,2010.8,2039.5,2036.4,2028.3,2035.0,34866,3,-0.15,996.0665968151427
2013-05-10,LKOH,181,66806794.4,2029.2,1985.0,2030.0,2035.1,2003.2,2000.9,33350,3,-1.6800000000000002,979.3757511387809
2013-05-13,LKOH,347,116816102.7,1977.7,1968.1,2007.9,2050.3,1985.9,2005.0,58822,3,0.2,981.3825683608654
2013-05-14,LKOH,312,77227743.8,2007.8,2004.8,2037.1,2021.3,2026.3,2015.6,38112,3,0.53,986.5709250813767
2013-05-15,LKOH,133,28193735.1,2023.8,1997.1,2029.0,2020.4,2013.3,2017.0,14004,3,0.07,987.2561797425763
2013-05-16,LKOH,82,22858418.3,2020.1,2001.7,2020.1,1998.3,2011.5,2002.0,11364,3,-0.74,979.9141655154376
2013-05-17,LKOH,120,35870742.5,2004.3,1999.4,2040.5,2023.6,2015.9,2023.0,17794,3,1.05,990.1929854334318
2013-05-20,LKOH,63,15672024.4,2029.8,2007.1,2032.5,2023.5,2018.6,2026.0,7764,3,0.15,991.6613882788595
2013-05-21,LKOH,173,31716635.2,2022.8,2013.2,2049.6,2045.9,2027.1,2045.5,15646,3,0.96,1001.2060067741397
2013-05-22,LKOH,162,26561296.1,2045.5,2042.1,2084.5,2080.3,2056.8,2083.6,12914,3,1.8599999999999999,1019.8547229110718
2013-05-23,LKOH,244,47257394.3,2051.8,2027.1,2058.6,2030.5,2044.4,2037.6,23116,3,-2.21,997.3392126145134
2013-05-24,LKOH,497,111926381.5,2037.2,1998.6,2037.2,2012.9,2012.1,2006.1,55627,3,-1.55,981.9209827375222
2013-05-27,LKOH,231,48382448.4,2020.3,1992.0,2020.3,1994.3,2003.0,1995.1,24155,3,-0.55,976.5368389709538
2013-05-28,LKOH,202,44949111.0,2005.6,2001.5,2024.0,2015.0,2015.7,2016.0,22300,3,1.05,986.7667121274337
2013-05-29,LKOH,165,32619168.6,1996.2,1941.2,1997.0,1944.2,1972.6,1941.2,16536,3,-3.71,950.154534514769
2013-05-30,LKOH,286,66071027.3,1937.3,1917.1,1962.0,1922.6,1940.4,1925.3,34050,3,-0.8200000000000001,942.3719994340021
2013-05-31,LKOH,431,108330089.0,1933.0,1870.2,1938.6,1878.2,1897.5,1874.1,57090,3,-2.66,917.3112575387021
2013-06-03,LKOH,525,128485309.8,1860.0,1853.0,1912.0,1880.3,1882.1,1891.0,68268,3,0.9,925.5832602346117
2013-06-04,LKOH,552,92857862.7,1891.6,1876.5,1914.6,1880.4,1896.6,1882.5,48960,3,-0.45,921.4227855058998
2013-06-05,LKOH,573,116526334.5,1870.0,1852.0,1907.7,1879.7,1881.2,1880.1,61943,3,-0.13,920.2480632295576
2013-06-06,LKOH,60,16486322.7,1876.6,1867.0,1889.0,1869.4,1875.6,1873.2,8790,3,-0.37,916.8707366850739
2013-06-07,LKOH,565,131006157.6,1889.5,1876.3,1940.4,1915.2,1894.1,1912.4,69165,3,2.09,936.0578671986628
2013-06-10,LKOH,238,64963685.9,1914.5,1878.3,1942.5,1893.9,1912.6,1888.0,33966,3,-1.28,924.114857389184
2013-06-11,LKOH,351,94793850.8,1881.7,1850.3,1905.9,1862.3,1874.9,1862.2,50560,3,-1.37,911.4865929185055
2013-06-13,LKOH,557,161348360.2,1825.9,1825.9,1869.4,1848.3,1855.9,1850.5,86940,3,-0.63,905.7598218213374
2013-06-14,LKOH,231,60324218.2,1860.8,1838.7,1872.8,1861.2,1853.1,1866.4,32553,3,0.86,913.5423569021044
2013-06-17,LKOH,290,71923025.3,1871.0,1830.0,1897.3,1879.4,1885.2,1876.2,38152,3,0.53,918.3391395305016
2013-06-18,LKOH,166,35460789.7,1883.9,1877.8,1901.4,1896.2,1888.2,1890.0,18780,3,0.74,925.0937926194691
2013-06-19,LKOH,203,54663547.5,1897.2,1874.0,1897.9,1883.0,1885.6,1884.8,28990,3,-0.28,922.5485610207277
2013-06-20,LKOH,151,39033053.2,1859.8,1848.6,1891.1,1865.8,1863.6,1864.7,20945,3,-1.07,912.7102619563619
2013-06-21,LKOH,317,72708507.1,1864.0,1794.2,1877.9,1798.1,1856.7,1794.2,39161,3,-3.7800000000000002,878.2027950888104
2013-06-24,LKOH,211,50170595.8,1788.0,1783.5,1814.8,1788.3,1800.6,1790.4,27864,3,-0.21,876.3428181512686
2013-06-25,LKOH,202,44245159.6,1800.5,1793.5,1836.5,1816.3,1813.2,1820.0,24402,3,1.65,890.8310595594887
2013-06-26,LKOH,461,48819858.6,1822.5,1817.8,1867.6,1867.4,1840.9,1865.0,26519,3,2.47,912.8571022409047
2013-06-27,LKOH,151,38188047.1,1864.0,1840.9,1869.3,1859.1,1856.3,1855.7,20572,3,-0.5,908.3050534200788
2013-06-28,LKOH,322,59860726.0,1862.1,1857.3,1894.0,1887.5,1876.0,1892.6,31908,3,1.99,926.3664084188398
2013-07-01,LKOH,365,96493732.1,1889.3,1883.3,1911.6,1911.9,1892.1,1910.3,50998,3,0.9400000000000001,935.0299852068634
2013-07-02,LKOH,193,38269356.5,1912.4,1902.1,1920.5,1917.7,1913.3,1913.8,20002,3,0.18,936.7431218598624
2013-07-03,LKOH,324,93899643.5,1903.5,1902.4,1942.5,1924.2,1922.4,1924.3,48844,3,0.55,941.8825318188594
2013-07-04,LKOH,121,32578090.9,1935.3,1916.3,1935.3,1932.1,1923.7,1925.5,16935,3,0.06,942.4698929570305
2013-07-05,LKOH,203,55431175.8,1932.0,1913.4,1945.9,1915.5,1930.5,1915.9,28714,3,-0.5,937.7710038516619
2013-07-08,LKOH,78,16021024.8,1911.2,1908.1,1936.4,1919.1,1918.5,1920.0,8351,3,0.21,939.7778210737464
2013-07-09,LKOH,319,86024575.7,1922.0,1905.4,1924.0,1912.6,1915.1,1911.2,44918,3,-0.46,935.4705060604917
2013-07-10,LKOH,485,110357930.8,1917.2,1887.1,1918.3,1893.7,1898.0,1894.1,58145,3,-0.89,927.1006098415536
2013-07-11,LKOH,402,93579727.9,1908.1,1906.0,1957.3,1954.8,1926.5,1957.3,48576,3,3.34,958.0349631185645
2013-07-12,LKOH,399,112993436.0,1965.0,1965.0,1992.7,1988.5,1979.4,1988.0,57085,3,1.57,973.0616189034416
2013-07-15,LKOH,636,174100224.3,1995.4,1987.2,2001.0,1993.8,1994.1,1991.9,87308,3,0.2,974.9705426024976
2013-07-16,LKOH,395,93517174.9,1996.7,1982.1,2006.7,1993.2,1992.2,1993.5,46941,3,0.08,975.7536907867258
2013-07-17,LKOH,115,22184454.9,2003.0,1979.4,2003.0,1994.3,1994.5,1994.3,11123,3,0.04,976.1452648788398
2013-07-18,LKOH,565,138956772.7,2000.0,1971.5,2017.9,2000.1,1992.2,1998.5,69752,3,0.21,978.2010288624386
2013-07-19,LKOH,232,71158525.1,2005.0,1995.4,2020.0,2018.9,2006.2,2016.2,35470,3,0.89,986.8646056504623
2013-07-22,LKOH,219,61646503.1,2023.0,1996.7,2023.0,2005.1,2009.4,2008.8,30679,3,-0.37,983.2425452984071
2013-07-23,LKOH,275,81367084.7,2012.4,2012.4,2028.5,2016.8,2020.6,2019.6,40268,3,0.54,988.5287955419469
2013-07-24,LKOH,445,111505424.4,2012.2,1986.2,2022.6,2003.9,2009.7,2004.9,55483,3,-0.73,981.3336215993512
2013-07-25,LKOH,568,203281647.1,2001.0,1985.4,2002.3,1993.5,1996.2,1986.1,101835,3,-0.9400000000000001,972.1316304346707
2013-07-26,LKOH,211,44963961.1,1999.0,1978.4,2005.0,1990.5,1989.3,1991.4,22603,3,0.27,974.7258087949264
2013-07-29,LKOH,302,68061829.0,1991.0,1976.7,1997.4,1977.5,1985.2,1976.7,34285,3,-0.74,967.5306348523305
2013-07-30,LKOH,234,50328478.7,1989.9,1969.6,1997.7,1971.9,1983.9,1969.6,25368,3,-0.36,964.0554147848181
2013-07-31,LKOH,237,55687490.4,1975.3,1952.9,1977.5,1949.7,1965.9,1964.4,28326,3,-0.26,961.5101831860768
2013-08-01,LKOH,277,73835187.3,1965.3,1960.7,1979.0,1963.7,1971.9,1960.7,37443,3,-0.19,959.6991530100493
