TRADEDATE,SECID,CLOSE,VALUE,CAPITALIZATION
2010-01-11,MCFTR,1568.06,0.0,0.0
2010-01-12,MCFTR,1549.49,0.0,0.0
2010-01-13,MCFTR,1557.46,0.0,0.0
2010-01-14,MCFTR,1579.86,0.0,0.0
2010-01-15,MCFTR,1576.62,0.0,0.0
2010-01-18,MCFTR,1605.78,0.0,0.0
2010-01-19,MCFTR,1610.66,0.0,0.0
2010-01-20,MCFTR,1585.91,0.0,0.0
2010-01-21,MCFTR,1558.42,0.0,0.0
2010-01-22,MCFTR,1530.73,0.0,0.0
2010-01-25,MCFTR,1536.67,0.0,0.0
2010-01-26,MCFTR,1502.95,0.0,0.0
2010-01-27,MCFTR,1509.96,0.0,0.0
2010-01-28,MCFTR,1529.22,0.0,0.0
2010-01-29,MCFTR,1543.46,0.0,0.0
2010-02-01,MCFTR,1540.83,0.0,0.0
2010-02-02,MCFTR,1562.18,0.0,0.0
2010-02-03,MCFTR,1556.14,0.0,0.0
2010-02-04,MCFTR,1517.86,0.0,0.0
2010-02-05,MCFTR,1474.11,0.0,0.0
2010-02-08,MCFTR,1437.69,0.0,0.0
2010-02-09,MCFTR,1455.1,0.0,0.0
2010-02-10,MCFTR,1443.23,0.0,0.0
2010-02-11,MCFTR,1445.52,0.0,0.0
2010-02-12,MCFTR,1418.89,0.0,0.0
2010-02-15,MCFTR,1434.51,0.0,0.0
2010-02-16,MCFTR,1480.47,0.0,0.0
2010-02-17,MCFTR,1472.42,0.0,0.0
2010-02-18,MCFTR,1455.77,0.0,0.0
2010-02-19,MCFTR,1472.05,0.0,0.0
2010-02-24,MCFTR,1451.16,0.0,0.0
2010-02-25,MCFTR,1420.63,0.0,0.0
2010-02-26,MCFTR,1439.4,0.0,0.0
2010-02-27,MCFTR,1449.1,0.0,0.0
2010-03-01,MCFTR,1474.8,0.0,0.0
2010-03-02,MCFTR,1487.65,0.0,0.0
2010-03-03,MCFTR,1499.86,0.0,0.0
2010-03-04,MCFTR,1505.43,0.0,0.0
2010-03-05,MCFTR,1537.97,0.0,0.0
2010-03-09,MCFTR,1535.99,0.0,0.0
2010-03-10,MCFTR,1524.9,0.0,0.0
2010-03-11,MCFTR,1517.9,0.0,0.0
2010-03-12,MCFTR,1539.47,0.0,0.0
2010-03-15,MCFTR,1522.55,0.0,0.0
2010-03-16,MCFTR,1544.92,0.0,0.0
2010-03-17,MCFTR,1560.74,0.0,0.0
2010-03-18,MCFTR,1558.72,0.0,0.0
2010-03-19,MCFTR,1545.28,0.0,0.0
2010-03-22,MCFTR,1541.43,0.0,0.0
2010-03-23,MCFTR,1533.88,0.0,0.0
2010-03-24,MCFTR,1527.53,0.0,0.0
2010-03-25,MCFTR,1529.59,0.0,0.0
2010-03-26,MCFTR,1539.24,0.0,0.0
2010-03-29,MCFTR,1566.06,0.0,0.0
2010-03-30,MCFTR,1569.99,0.0,0.0
2010-03-31,MCFTR,1576.88,0.0,0.0
2010-04-01,MCFTR,1608.97,0.0,0.0
2010-04-02,MCFTR,1609.52,0.0,0.0
2010-04-05,MCFTR,1617.55,0.0,0.0
2010-04-06,MCFTR,1629.61,0.0,0.0
2010-04-07,MCFTR,1607.64,0.0,0.0
2010-04-08,MCFTR,1605.63,0.0,0.0
2010-04-09,MCFTR,1627.69,0.0,0.0
2010-04-12,MCFTR,1633.98,0.0,0.0
2010-04-13,MCFTR,1630.37,0.0,0.0
2010-04-14,MCFTR,1660.02,0.0,0.0
2010-04-15,MCFTR,1664.72,0.0,0.0
2010-04-16,MCFTR,1625.74,0.0,0.0
2010-04-19,MCFTR,1586.69,0.0,0.0
2010-04-20,MCFTR,1602.73,0.0,0.0
2010-04-21,MCFTR,1593.97,0.0,0.0
2010-04-22,MCFTR,1569.5,0.0,0.0
