TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2013-04-17,NVTK,3,310000.0,310.0,310.0,310.0,307.56,310.0,310.0,1000,3,-2.44,246.01774809304433
2013-05-14,NVTK,1,3100.0,310.0,310.0,310.0,306.12,310.0,310.0,10,3,0.0,246.01774809304433
2013-05-20,NVTK,1,97202.0,277.72,277.72,277.72,305.46,277.72,277.72,350,3,-10.41,220.40015806580735
2013-05-21,NVTK,5,107450.0,307.0,307.0,307.0,312.37,307.0,307.0,350,3,10.54,243.63693117601485
2013-05-24,NVTK,1,2930.0,293.0,293.0,293.0,324.64,293.0,293.0,10,3,-4.5600000000000005,232.52645222987738
2013-06-24,NVTK,3,17793.6,350.0,349.0,365.68,348.6,355.87,349.0,50,3,19.11,276.9683680144273
2013-06-25,NVTK,3,13036.2,317.58,317.58,340.0,342.33,325.91,323.02,40,3,-7.44,256.3504935129522
2013-06-26,NVTK,1,3115.0,311.5,311.5,311.5,346.69,311.5,311.5,10,3,-3.5700000000000003,247.20815655155906
2013-07-15,NVTK,27,98004.1,362.0,361.0,366.0,363.19,362.98,365.0,270,3,17.17,289.66605823858447
2013-07-17,NVTK,2,106570.0,368.0,365.0,368.0,372.96,367.48,365.0,290,3,0.0,289.66605823858447
2013-07-18,NVTK,2,54801.0,366.0,365.01,366.0,364.16,365.34,365.01,150,3,0.0,289.67399429497453
2013-07-22,NVTK,3,35535.0,355.01,355.01,355.69,357.01,355.35,355.69,100,3,-2.55,282.277589739403
2013-07-23,NVTK,1,21656.4,360.94,360.94,360.94,352.84,360.94,360.94,60,3,1.48,286.44401934420455
2013-08-02,NVTK,1,21660.0,361.0,361.0,361.0,358.38,361.0,361.0,60,3,0.02,286.49163568254517
2013-08-07,NVTK,1,13640.0,341.0,341.0,341.0,340.42,341.0,341.0,40,3,-5.54,270.61952290234876
