TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2014-06-09,ROSN,13527,1527091805.5,238.08,237.02,241.79,240.36,239.6,240.36,6373420,3,1.42,146.72604928880992
2014-06-10,ROSN,14123,1218261292.1,246.48,239.65,246.48,242.8,241.59,242.8,5042580,3,1.02,148.21552990232587
2014-06-11,ROSN,24571,3186089308.7,242.41,242.12,249.66,249.66,245.85,249.66,12959310,3,2.83,152.4031680206535
2014-06-16,ROSN,36954,4816128648.3,249.01,245.67,254.87,253.3,251.17,253.3,19174760,3,1.46,154.62518008343963
2014-06-17,ROSN,17967,1894839765.8,253.25,250.1,257.3,251.59,252.5,251.59,7504200,3,-0.68,153.58132276822968
2014-06-18,ROSN,14877,1981627195.7,251.52,249.23,252.58,250.87,251.13,250.87,7890720,3,-0.29,153.14180389866758
2014-06-19,ROSN,17593,2252794986.9,253.0,249.24,254.23,249.89,251.33,249.89,8963490,3,-0.39,152.54356988176363
2014-06-20,ROSN,16511,1737154909.4,250.65,248.07,251.84,250.11,250.13,250.11,6944910,3,0.09,152.67786731412983
2014-06-23,ROSN,12614,1241818037.0,250.28,250.0,253.3,252.3,251.22,252.3,4943100,3,0.88,154.01473720904784
2014-06-24,ROSN,18260,1760223249.2,253.05,252.7,258.3,257.81,255.12,257.81,6899670,3,2.18,157.37827744694658
2014-06-25,ROSN,15939,1704498342.3,256.36,248.74,257.69,250.0,252.27,250.0,6756610,3,-3.03,152.61071859794671
2014-06-26,ROSN,15468,1160369058.2,251.25,248.5,252.44,249.24,249.64,249.24,4648100,3,-0.30000000000000004,152.14678201340897
2014-06-27,ROSN,13590,1187030794.5,249.9,247.11,251.24,249.49,249.15,249.49,4764260,3,0.1,152.2993927320069
2014-06-30,ROSN,10021,938639221.5,249.67,246.35,250.11,249.3,248.17,249.3,3782240,3,-0.08,152.18340858587248
2014-07-01,ROSN,7907,599576905.2,248.95,247.17,250.35,250.16,248.7,250.16,2410840,3,0.34,152.70838945784942
2014-07-02,ROSN,14884,1527793285.7,250.52,249.72,255.29,255.19,253.38,255.19,6029760,3,2.01,155.7789171160401
2014-07-03,ROSN,12770,1294388349.6,255.1,255.1,258.55,257.7,257.35,257.7,5029670,3,0.98,157.31112873076347
2014-07-04,ROSN,16532,1397605050.8,256.85,253.9,259.0,253.9,257.24,253.9,5432990,3,-1.47,154.9914458080747
2014-07-07,ROSN,18596,1541986718.8,244.0,241.12,248.99,248.99,246.11,248.99,6265420,3,-1.9300000000000002,160.09674379486626
2014-07-08,ROSN,25917,1764645429.1,248.9,248.64,254.5,249.99,252.08,249.99,7000330,3,0.4,160.73972842796343
2014-07-09,ROSN,14531,1109364353.1,249.0,245.32,249.9,247.95,247.3,247.95,4485820,3,-0.8200000000000001,159.42803977644516
2014-07-10,ROSN,20833,1857826822.0,248.1,242.2,249.72,244.95,246.65,244.95,7532330,3,-1.21,157.49908587715365
2014-07-11,ROSN,16240,1004927065.3,245.9,242.61,246.65,246.01,244.58,246.01,4108780,3,0.43,158.18064958823666
2014-07-14,ROSN,12097,809120218.5,246.48,241.57,247.88,242.0,244.36,242.0,3311240,3,-1.63,155.60228120951697
2014-07-15,ROSN,16589,1298680043.4,242.58,240.5,244.44,241.92,242.45,241.92,5356490,3,-0.03,155.55084243886918
2014-07-16,ROSN,15378,995579072.6,241.9,240.73,245.3,244.18,243.49,244.18,4088830,3,0.93,157.00398770966882
2014-07-17,ROSN,22217,2495410144.9,237.0,229.02,237.0,233.7,233.02,233.7,10709070,3,-4.29,150.26550875481038
2014-07-18,ROSN,20244,1815764154.5,229.02,229.02,232.18,231.75,230.88,231.75,7864560,3,-0.8300000000000001,149.0116887202709
2014-07-21,ROSN,17160,1249456508.4,220.83,220.83,231.48,225.91,228.07,225.91,5478310,3,-2.52,145.25665846298338
2014-07-22,ROSN,16988,1675418130.4,227.76,226.23,229.5,226.76,228.13,226.76,7344200,3,0.38,145.80319540111597
2014-07-23,ROSN,17962,1398268651.1,229.52,220.11,229.52,221.8,224.0,221.8,6242370,3,-2.19,142.61399162095398
2014-07-24,ROSN,14967,1261622953.6,222.0,220.21,222.45,222.45,221.41,222.45,5698180,3,0.29,143.03193163246715
2014-07-25,ROSN,20069,1813901490.5,222.38,219.65,223.99,220.84,221.29,220.84,8196760,3,-0.72,141.9967263731807
2014-07-28,ROSN,21050,1915989078.9,220.61,214.39,220.97,218.21,217.41,218.21,8812750,3,-1.19,140.30567678813512
2014-07-29,ROSN,16266,1497060665.6,218.7,217.06,221.44,220.3,219.99,220.3,6805200,3,0.96,141.64951467130822
2014-07-30,ROSN,19368,2109895425.8,218.95,217.01,226.87,224.0,224.46,224.0,9399760,3,1.6800000000000002,144.02855781376778
2014-07-31,ROSN,12964,1264003550.8,224.99,222.12,226.72,223.0,224.1,223.0,5640440,3,-0.45,143.3855731806706
2014-08-01,ROSN,19192,1275230536.4,222.09,219.42,224.0,221.79,220.56,221.79,5781690,3,-0.54,142.607561774623
2014-08-04,ROSN,11543,861924552.7,221.33,219.0,223.38,219.9,220.5,219.9,3908940,3,-0.85,141.39232081806935
2014-08-05,ROSN,12402,792490929.6,221.01,219.08,221.78,220.0,219.88,220.0,3604190,3,0.05,141.45661928137906
