TRADEDATE,SECID,CLOSE,VALUE,CAPITALIZATION
2010-01-11,RTSI,1553.06,320188268.8663,157706263766.29
2010-01-12,RTSI,1535.78,348236490.7955,155951580460.427
2010-01-13,RTSI,1538.43,340850709.4787,156220912692.974
2010-01-14,RTSI,1561.91,294599513.4227,158604581764.284
2010-01-15,RTSI,1559.25,388966550.6883,158334331130.292
2010-01-18,RTSI,1581.09,289695350.3157,160553051170.06
2010-01-19,RTSI,1580.67,452441960.3464,160510298981.03
2010-01-20,RTSI,1556.97,547310304.7152,158102900160.501
2010-01-21,RTSI,1530.29,604541164.0232,155394066154.276
2010-01-22,RTSI,1489.46,593598422.9793,151248468076.841
2010-01-25,RTSI,1485.92,543632749.7419,150888705871.803
2010-01-26,RTSI,1444.33,561934874.8298,146665565030.491
2010-01-27,RTSI,1446.36,598190820.7941,146871660744.347
2010-01-28,RTSI,1460.98,551850462.3542,148355648490.279
2010-01-29,RTSI,1473.81,521411591.8643,149659028933.084
2010-02-01,RTSI,1470.79,426127038.4187,149352035942.288
2010-02-02,RTSI,1498.75,352721806.4509,152190886946.349
2010-02-03,RTSI,1507.15,391299898.6723,153043838674.819
2010-02-04,RTSI,1463.01,382173967.4685,148562136515.018
2010-02-05,RTSI,1411.14,475286978.1386,143294719441.028
2010-02-08,RTSI,1375.34,479427468.0142,139659849368.323
2010-02-09,RTSI,1390.32,420487680.7248,141181124371.71
2010-02-10,RTSI,1387.11,433608198.1751,140854597020.518
2010-02-11,RTSI,1391.94,461689326.9344,141345195050.636
2010-02-12,RTSI,1363.83,444932627.5265,138490512131.825
2010-02-15,RTSI,1375.99,258073936.3094,139725643035.93
2010-02-16,RTSI,1418.16,347989804.0311,144007894381.332
2010-02-17,RTSI,1421.97,380145521.6456,144394947485.174
2010-02-18,RTSI,1410.85,446495287.0147,143265216456.001
2010-02-19,RTSI,1423.13,384211377.7003,144512453330.322
2010-02-24,RTSI,1401.48,346987298.0447,142314054059.109
2010-02-25,RTSI,1373.11,375158861.9692,139433147719.386
2010-02-26,RTSI,1390.25,359733940.0444,141174009466.071
2010-02-27,RTSI,1410.85,118943541.6386,143265045944.793
2010-03-01,RTSI,1429.77,339801384.7895,145186728406.379
2010-03-02,RTSI,1445.62,332431399.5898,146796325588.556
2010-03-03,RTSI,1460.2,335009796.9305,148276416750.064
2010-03-04,RTSI,1470.41,334254834.5205,149313505894.177
2010-03-05,RTSI,1508.21,332739441.5534,153152042507.687
2010-03-09,RTSI,1502.7,337160891.1453,152592157851.748
2010-03-10,RTSI,1501.4,419427847.2327,152460465468.875
2010-03-11,RTSI,1504.04,381525656.3295,152728736789.339
2010-03-12,RTSI,1534.68,424675964.6408,155840037769.737
2010-03-15,RTSI,1514.4,366340886.2439,156881855519.304
2010-03-16,RTSI,1536.79,339991036.2577,159200280867.529
2010-03-17,RTSI,1563.46,434299310.0635,161963697105.705
2010-03-18,RTSI,1558.8,409564818.3938,161480837380.639
2010-03-19,RTSI,1544.71,383038087.3508,160021277179.897
2010-03-22,RTSI,1525.59,481616818.5892,158040802214.277
2010-03-23,RTSI,1524.96,420144061.6253,157975765086.118
2010-03-24,RTSI,1514.58,440957408.6502,156899996283.625
2010-03-25,RTSI,1515.04,395953085.333,156947142231.842
2010-03-26,RTSI,1519.87,390089594.7157,157448142999.712
2010-03-29,RTSI,1551.57,344019996.5958,160732257994.477
2010-03-30,RTSI,1562.29,349848081.6874,161842235669.911
2010-03-31,RTSI,1572.48,381879530.6976,162898495729.344
2010-04-01,RTSI,1608.39,379617108.1177,166617944816.06
2010-04-02,RTSI,1614.45,261841395.0662,167245852999.643
2010-04-05,RTSI,1626.79,333669250.8004,168524641730.534
2010-04-06,RTSI,1633.32,358283464.6197,169201137094.282
2010-04-07,RTSI,1613.88,409300260.8419,167187276659.693
2010-04-08,RTSI,1600.84,399685558.5826,165835805893.535
2010-04-09,RTSI,1631.81,324845417.6545,169044138132.566
2010-04-12,RTSI,1648.43,324205205.6799,170765933204.129
2010-04-13,RTSI,1643.98,344526457.95,170304994334.425
2010-04-14,RTSI,1673.41,359592360.811,173353657706.751
2010-04-15,RTSI,1676.27,455972244.2062,173650087109.097
2010-04-16,RTSI,1642.57,439253644.8955,170158785120.097
2010-04-19,RTSI,1601.67,449095496.9742,165921716136.214
2010-04-20,RTSI,1619.43,346760589.5542,167761491543.946
2010-04-21,RTSI,1610.23,392534344.3128,166808459952.95
2010-04-22,RTSI,1583.54,428507012.651,164044097289.15
2010-04-23,RTSI,1602.99,426026195.7676,166058313150.307
2010-04-26,RTSI,1626.1,393839993.7069,168452736987.408
2010-04-27,RTSI,1603.59,405572385.9061,166120599043.916
2010-04-28,RTSI,1563.1,544262431.6972,161926569351.734
2010-04-29,RTSI,1588.75,426655008.3636,164583161233.214
2010-04-30,RTSI,1572.84,417583119.4162,162935470997.839
2010-05-04,RTSI,1517.83,499871641.4425,157236629687.791
2010-05-05,RTSI,1482.67,655279413.4991,153594412504.447
2010-05-06,RTSI,1450.47,487204026.3589,150258861348.538
2010-05-07,RTSI,1369.91,492439505.5677,141912865958.486
2010-05-11,RTSI,1420.54,655714714.5937,147157856840.019
2010-05-12,RTSI,1485.36,669013838.5326,153872569603.101
2010-05-13,RTSI,1476.03,641183769.3014,152906013477.992
2010-05-14,RTSI,1441.68,747402629.4856,149347970212.889
2010-05-17,RTSI,1422.72,651903679.4677,147383601793.317
2010-05-18,RTSI,1438.94,565478062.6242,149064080120.186
2010-05-19,RTSI,1379.88,646996881.0828,142946030461.744
