TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2014-06-09,SIBN,548,26063299.3,148.07,145.53,149.49,148.92,148.53,148.92,175470,3,0.30000000000000004,124.26605461403253
2014-06-10,SIBN,262,7794554.1,148.84,148.02,149.7,149.11,148.95,149.11,52330,3,0.13,124.42459980861129
2014-06-11,SIBN,715,26262369.3,149.01,148.9,154.99,152.5,150.69,152.5,174280,3,2.27,127.25337985925304
2014-06-16,SIBN,424,25120034.5,152.77,151.18,153.25,153.0,152.7,153.0,164510,3,0.33,127.67060405551288
2014-06-17,SIBN,612,22076368.9,153.0,153.0,156.99,155.5,155.06,155.5,142370,3,1.63,129.75672503681213
2014-06-18,SIBN,754,35915963.6,155.99,154.37,157.5,156.69,155.82,156.69,230500,3,0.77,130.74971862391055
2014-06-19,SIBN,1033,55215503.7,156.02,152.63,157.5,153.5,154.8,153.5,356680,3,-2.04,128.08782825177272
2014-06-20,SIBN,1784,67064422.4,149.03,148.21,151.85,150.61,150.39,150.61,445940,3,-1.88,125.67627239739083
2014-06-23,SIBN,1049,24002618.1,149.98,148.3,152.88,151.59,150.52,151.59,159460,3,0.65,131.09872097935914
2014-06-24,SIBN,516,12223363.5,150.45,150.45,152.25,151.18,151.49,151.18,80690,3,-0.27,130.74414300190986
2014-06-25,SIBN,546,14885155.7,151.0,149.01,152.99,149.23,150.67,149.23,98790,3,-1.29,129.05773554818765
2014-06-26,SIBN,1752,34561090.5,149.95,146.02,150.7,147.0,148.04,147.0,233450,3,-1.49,127.12917728059763
2014-06-27,SIBN,380,13736281.9,146.95,146.51,148.9,147.75,147.85,147.75,92910,3,0.51,127.77779553202924
2014-06-30,SIBN,527,28970417.9,148.73,147.98,150.5,150.5,149.58,150.5,193680,3,1.8599999999999999,130.1560624539452
2014-07-01,SIBN,503,19335244.2,152.5,148.53,152.5,149.85,150.15,149.85,128770,3,-0.43,129.5939266360378
2014-07-02,SIBN,684,21122428.8,150.39,149.6,151.88,151.53,150.77,151.41,140100,3,1.04,130.94305259901554
2014-07-03,SIBN,664,27411373.9,151.34,148.69,152.34,148.69,150.57,148.69,182050,3,-1.8,128.59073040715688
2014-07-04,SIBN,497,14896252.3,150.79,148.8,150.99,148.85,149.85,148.85,99410,3,0.11,128.72910230079563
2014-07-07,SIBN,290,9624340.5,150.85,149.01,152.29,151.6,150.47,151.6,63960,3,1.85,131.10736922271155
2014-07-08,SIBN,387,11420294.8,151.8,150.7,152.8,151.58,151.68,151.58,75290,3,-0.01,131.09007273600673
