TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2014-06-09,SNGSP,3810,348435218.3,27.5,27.313,27.59,27.48,27.492,27.48,12674200,3,-0.07,8.618376321624941
2014-06-10,SNGSP,8798,385641688.8,27.394,27.311,27.58,27.55,27.475,27.55,14035900,3,0.25,8.64032997309924
2014-06-11,SNGSP,9358,760214606.6,27.472,27.444,28.15,28.15,27.94,28.15,27208800,3,2.18,8.828504128593234
2014-06-16,SNGSP,25833,1913160272.0,28.3,27.87,28.3,28.27,28.11,28.27,68059900,3,0.43,8.866138959692034
2014-06-17,SNGSP,9308,629284373.3,28.986,28.2,28.986,28.2,28.472,28.2,22101600,3,-0.25,8.844185308217734
2014-06-18,SNGSP,12454,1091428151.6,28.2,28.2,29.1,29.1,28.792,29.1,37906800,3,3.19,9.126446541458726
2014-06-19,SNGSP,11068,854800596.8,29.475,28.364,29.475,28.411,28.816,28.411,29664000,3,-2.37,8.910359886233122
2014-06-20,SNGSP,8789,595141043.9,28.551,27.859,28.551,27.859,28.124,27.859,21161600,3,-1.94,8.737239663178647
2014-06-23,SNGSP,6697,568601512.8,28.001,27.998,28.489,28.25,28.272,28.25,20111600,3,1.4,8.859866487842233
2014-06-24,SNGSP,11886,808779571.4,26.994,26.994,28.979,28.75,28.691,28.75,28189100,3,1.77,9.016678284087229
2014-06-25,SNGSP,7303,523318201.4,28.502,28.126,29.099,28.16,28.584,28.16,18307800,3,-2.05,8.831640364518135
2014-06-26,SNGSP,8562,554222690.1,28.381,27.962,28.59,28.185,28.253,28.185,19616400,3,0.09,8.839480954330384
2014-06-27,SNGSP,6881,403099191.7,28.499,28.044,28.499,28.255,28.26,28.255,14263700,3,0.25,8.861434605804682
2014-06-30,SNGSP,8444,641438598.2,27.983,27.472,28.283,28.0,27.784,28.0,23086700,3,-0.9,8.781460589719735
2014-07-01,SNGSP,6276,427140771.6,27.965,27.611,28.08,27.811,27.804,27.811,15362300,3,-0.68,8.722185730739128
2014-07-02,SNGSP,11054,603425536.4,27.875,27.824,28.22,28.19,28.062,28.19,21503300,3,1.3599999999999999,8.841049072292835
