TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2014-06-09,SNGS,6405,404388751.9,27.152,26.831,27.33,26.942,27.133,26.942,14903900,3,-0.73,21.755104319871382
2014-06-10,SNGS,7453,432892121.7,27.0,26.7,27.394,27.394,27.087,27.394,15981600,3,1.6800000000000002,22.12008491346435
2014-06-11,SNGS,10318,611471117.2,27.37,27.204,27.65,27.559,27.475,27.559,22255600,3,0.6000000000000001,22.253318979709576
2014-06-16,SNGS,21493,1863936923.9,27.4,27.0,27.635,27.351,27.401,27.351,68023500,3,-0.75,22.085363308321657
2014-06-17,SNGS,9607,673663500.1,28.121,27.313,28.121,27.792,27.57,27.792,24434500,3,1.6099999999999999,22.44146163083162
2014-06-18,SNGS,9802,725413347.0,27.842,27.768,28.388,28.184,28.171,28.184,25750100,3,1.4100000000000001,22.75799347306269
2014-06-19,SNGS,11871,627093198.8,28.4,27.211,28.474,27.248,27.818,27.248,22542500,3,-3.32,22.002192951817065
2014-06-20,SNGS,8874,502127351.1,27.098,26.763,27.318,27.186,27.059,27.186,18556500,3,-0.23,21.952129242076435
2014-06-23,SNGS,6649,314470345.1,27.275,27.06,27.498,27.275,27.302,27.275,11518100,3,0.33,22.02399488992992
2014-06-24,SNGS,10141,533608014.6,27.37,27.317,27.825,27.8,27.587,27.8,19342600,3,1.92,22.447921464346535
2014-06-25,SNGS,10594,522458308.8,27.599,26.7,27.699,26.717,27.107,26.717,19274200,3,-3.9,21.573421502264257
2014-06-26,SNGS,8006,394742510.0,26.855,26.28,26.928,26.5,26.551,26.5,14867200,3,-0.81,21.39819851817206
2014-06-27,SNGS,8272,355958738.1,26.703,26.257,26.73,26.6,26.556,26.6,13404200,3,0.38,21.478946437108558
2014-06-30,SNGS,6576,344230819.5,26.641,26.111,26.696,26.436,26.317,26.436,13080400,3,-0.62,21.346519850052697
2014-07-01,SNGS,7618,348714479.7,26.968,26.12,26.968,26.673000000000002,26.462,26.673000000000002,13177800,3,0.9,21.537892417932202
2014-07-02,SNGS,11751,603588369.4,26.627,26.627,27.484,27.484,27.126,27.484,22251100,3,3.04,22.192758040507204
2014-07-03,SNGS,4622,244978972.6,27.629,27.169,27.629,27.26,27.354,27.26,8955800,3,-0.8200000000000001,22.011882702089448
2014-07-04,SNGS,9693,464207587.4,27.728,26.301,27.728,26.595,26.888,26.595,17264300,3,-2.44,21.47490904116173
2014-07-07,SNGS,7580,385041130.1,26.647,26.584,27.143,27.0,26.847,27.0,14342100,3,1.52,21.80193811285455
2014-07-08,SNGS,9339,445009639.1,26.94,26.752,27.35,26.791,27.129,26.791,16403700,3,-0.77,21.63317496227727
2014-07-09,SNGS,9895,489932296.8,27.271,26.417,27.271,26.99,26.75,26.99,18315400,3,0.74,21.7938633209609
2014-07-10,SNGS,15484,654544292.6,27.724,26.3,27.724,26.652,26.797,26.652,24425600,3,-1.25,21.520935354955537
2014-07-11,SNGS,8481,429825406.9,26.704,26.471,27.0,26.9,26.761,26.9,16061500,3,0.93,21.72119019391805
2014-07-14,SNGS,9294,457189141.1,26.99,26.299,27.0,26.38,26.593,26.38,17191900,3,-1.9300000000000002,21.30130101544826
2014-07-15,SNGS,9883,554258751.9,25.596,25.596,26.219,26.022,25.941,26.022,21366100,3,-1.3599999999999999,21.50125892257543
2014-07-16,SNGS,11418,589999519.7,26.0,25.551,26.456,25.965,25.943,25.965,22742400,3,-0.22,21.454161398995893
2014-07-17,SNGS,11699,599035792.2,25.55,25.379,25.856,25.59,25.624,25.59,23377800,3,-1.44,21.144309270183125
2014-07-18,SNGS,15674,692068079.3,25.3,24.778,25.568,24.811,25.127,24.811,27543100,3,-3.04,20.500643114596073
2014-07-21,SNGS,14715,693046213.2,24.93,24.452,24.967,24.555,24.659,24.555,28105300,3,-1.03,20.289117394659893
2014-07-22,SNGS,14495,650259075.4,24.6,24.6,25.327,24.851,25.039,24.851,25969700,3,1.21,20.533694008336102
2014-07-23,SNGS,8933,370720779.4,24.995,24.576999999999998,25.103,24.92,24.871,24.92,14905700,3,0.28,20.59070680003765
2014-07-24,SNGS,9160,454457424.2,24.7,24.653,25.077,24.882,24.886,24.882,18261700,3,-0.15,20.559308450984627
2014-07-25,SNGS,10191,395339370.0,24.975,24.549,25.03,24.86,24.793,24.86,15945600,3,-0.09,20.54113045942761
2014-07-28,SNGS,11503,476733852.1,24.8,24.421,25.0,24.586,24.654,24.586,19337000,3,-1.1,20.314731837308415
2014-07-29,SNGS,9661,459198545.6,24.608,24.576999999999998,24.992,24.821,24.866,24.821,18467000,3,0.96,20.508905838031083
2014-07-30,SNGS,11357,535511534.1,24.775,24.65,25.3,24.792,25.088,24.792,21345500,3,-0.12,20.484943940069563
2014-07-31,SNGS,7991,331813498.4,24.997,24.778,25.018,24.86,24.905,24.86,13323300,3,0.27,20.54113045942761
2014-08-01,SNGS,9577,421672140.4,25.16,24.601,25.627,25.511,25.107,25.511,16795300,3,2.62,21.07903375504657
2014-08-04,SNGS,17276,1016050599.9,25.5,25.25,26.435,26.435,25.82,26.435,39351200,3,3.62,21.842509400441223
2014-08-05,SNGS,12609,610699152.9,26.328,25.35,26.328,25.365,25.604,25.365,23851900,3,-4.05,20.958397992895467
2014-08-06,SNGS,16814,771320726.7,25.325,25.0,25.628,25.108,25.298,25.108,30489400,3,-1.01,20.746046000615785
2014-08-07,SNGS,15809,679748238.3,25.001,24.959,25.446,25.072,25.209,25.072,26964400,3,-0.14,20.716300196249758
2014-08-08,SNGS,10014,395748847.6,25.15,25.065,25.592,25.269,25.356,25.269,15607600,3,0.79,20.8790758479194
2014-08-11,SNGS,7541,339251801.6,25.38,25.38,25.9,25.47,25.533,25.47,13286700,3,0.8,21.04515658896304
2014-08-12,SNGS,6781,259934303.1,25.586,25.303,25.663,25.355,25.476,25.355,10203000,3,-0.45,20.95013526946046
2014-08-13,SNGS,15112,620022642.2,25.363,25.355,25.955,25.874,25.718,25.874,24108900,3,2.05,21.378970615737327
2014-08-14,SNGS,11153,635593975.6,25.748,25.73,26.469,26.25,26.182,26.25,24275800,3,1.45,21.689649016893593
2014-08-15,SNGS,7487,443622151.4,26.25,26.02,26.377,26.116,26.17,26.116,16951300,3,-0.51,21.578928522864498
2014-08-18,SNGS,6494,302297832.3,26.052,25.778,26.255,26.038,26.015,26.038,11620200,3,-0.30000000000000004,21.514479280071445
2014-08-19,SNGS,7904,435844445.7,26.035,25.974,26.7,26.59,26.335,26.59,16549700,3,2.12,21.970581613683834
2014-08-20,SNGS,6567,387163533.4,26.59,26.42,26.915,26.859,26.724,26.859,14487500,3,1.01,22.192848874085527
2014-08-21,SNGS,7819,501012290.9,26.817,26.8,27.2,27.15,27.069,27.15,18508500,3,1.08,22.43329412604423
2014-08-22,SNGS,10207,481035330.3,27.08,26.523,27.211,26.583,26.742,26.583,17988000,3,-2.09,21.964797707279327
2014-08-25,SNGS,3531,177617290.8,27.015,26.592,27.015,26.65,26.693,26.65,6654000,3,0.25,22.020157954293875
2014-08-26,SNGS,5976,278053411.2,26.75,26.5,26.765,26.5,26.59,26.5,10456900,3,-0.56,21.89621710276877
2014-08-27,SNGS,6440,388230664.2,26.388,26.3,26.725,26.64,26.591,26.64,14599900,3,0.53,22.01189523085887
2014-08-28,SNGS,13796,894366995.5,26.64,25.789,26.64,26.2,26.094,26.2,34274200,3,-1.65,21.648335399718558
2014-08-29,SNGS,9251,444771477.0,26.098,25.525,26.483,25.525,26.016,25.525,17096400,3,-2.58,21.09060156785558
2014-09-01,SNGS,11890,606602215.4,25.778,25.601,26.3,25.601,25.936,25.601,23388700,3,0.30000000000000004,21.153398265961634
2014-09-02,SNGS,5492,240659227.5,25.629,25.522,25.995,25.995,25.74,25.995,9349500,3,1.54,21.478949569300912
2014-09-03,SNGS,16137,712309215.2,25.903,25.903,26.817,26.323,26.436,26.323,26944500,3,1.26,21.749966897969145
2014-09-04,SNGS,7691,390286779.5,26.417,26.35,26.932,26.775,26.667,26.775,14635400,3,1.72,22.123441997231463
