TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2013-09-02,TATNP,348,27179512.1,104.25,103.1,105.48,104.2,104.94,104.24,259010,3,5.35,59.027719090149816
2013-09-03,TATNP,547,34437498.7,104.87,103.5,105.49,105.48,105.01,105.3,327960,3,1.02,59.62796258818856
2013-09-04,TATNP,237,6565504.5,105.3,103.58,105.75,105.46,104.76,105.51,62670,3,0.2,59.746878752894354
2013-09-05,TATNP,506,38641853.2,105.73,104.02,108.23,108.0,105.9,107.99,364890,3,2.35,61.15122203132462
2013-09-06,TATNP,682,17615259.6,107.0,106.51,109.5,108.0,108.2,107.8,162810,3,-0.18,61.04363121563843
2013-09-09,TATNP,783,11326350.1,108.5,107.11,109.99,109.5,108.87,109.5,104040,3,1.58,62.00628588230435
2013-09-10,TATNP,759,32389432.2,109.74,107.92,109.74,108.67,108.81,109.0,297680,3,-0.46,61.72315215681437
2013-09-11,TATNP,517,15153416.7,109.0,107.8,109.0,108.89,108.83,108.89,139240,3,-0.1,61.66086273720658
2013-09-12,TATNP,575,36502453.7,108.35,105.02,109.15,109.0,108.96,109.14,335020,3,0.23,61.802429599951566
2013-09-13,TATNP,567,30420410.0,109.13,108.55,109.49,108.98,109.05,109.0,278970,3,-0.13,61.72315215681437
2013-09-16,TATNP,2567,81320643.3,109.0,108.11,109.87,109.42,109.12,109.09,745250,3,0.08,61.774116227402565
2013-09-17,TATNP,297,131201122.1,108.8,108.38,109.05,108.52,108.98,109.0,1203930,3,-0.08,61.72315215681437
2013-09-18,TATNP,635,64046152.7,109.79,107.22,109.79,107.79,109.07,108.51,587200,3,-0.45,61.4456811058342
2013-09-19,TATNP,1768,86695172.7,125.95,108.52,125.95,111.01,110.25,111.01,786340,3,2.3,62.86134973328407
2013-09-20,TATNP,582,13348062.4,112.58,110.7,112.58,111.22,111.38,111.4,119840,3,0.35000000000000003,63.08219403916625
2013-09-23,TATNP,287,29112745.0,112.84,109.51,112.84,110.28,110.87,110.4,262580,3,-0.9,62.5159265881863
2013-09-24,TATNP,303,13621945.0,109.78,109.22,110.98,110.1,109.99,110.1,123850,3,-0.27,62.34604635289231
2013-09-25,TATNP,332,38372085.5,109.67,109.67,110.7,110.43,110.46,110.5,347390,3,0.36,62.57255333328429
2013-09-26,TATNP,517,17006582.8,110.93,110.19,111.97,111.47,111.1,111.47,153070,3,0.88,63.12183276073484
2013-09-27,TATNP,369,4025310.6,111.08,110.51,111.49,111.25,111.04,111.25,36250,3,-0.2,62.99725392151925
2013-09-30,TATNP,281,22386505.8,110.99,110.4,112.0,112.0,111.55,110.64,200690,3,-0.55,62.651830776421484
2013-10-01,TATNP,184,7086122.1,110.83,110.7,111.96,110.79,111.02,110.79,63830,3,0.14,62.73677089406848
2013-10-02,TATNP,614,29976342.1,111.88,109.99,111.9,110.27,110.51,110.27,271260,3,-0.47000000000000003,62.4423118195589
2013-10-03,TATNP,631,72990916.4,110.01,110.0,114.0,112.45,111.07,112.51,657190,3,2.03,63.71075090975399
2013-10-04,TATNP,282,17167235.1,112.01,111.78,113.2,113.18,112.88,113.0,152080,3,0.44,63.988221960734165
2013-10-07,TATNP,255,16519605.0,112.9,112.71,113.75,113.49,113.58,113.26,145440,3,0.23,64.13545149798895
2013-10-08,TATNP,982,19881332.8,113.79,79.5,114.0,114.0,111.54,114.0,178240,3,0.65,64.55448941171412
2013-10-09,TATNP,431,8139616.3,114.57,112.97,114.57,114.3,113.43,114.3,71760,3,0.26,64.72436964700809
2013-10-10,TATNP,328,10445145.9,114.23,113.59,114.67,114.5,114.02,114.5,91610,3,0.17,64.83762313720409
2013-10-11,TATNP,198,11980632.9,114.77,113.99,114.94,114.56,114.49,114.55,104640,3,0.04,64.86593650975308
2013-10-14,TATNP,863,18446317.4,114.7,113.0,114.9,114.82,114.07,114.51,161710,3,-0.03,64.84328581171388
2013-10-15,TATNP,586,17240337.6,115.0,115.0,119.25,118.0,116.72,119.25,147710,3,4.14,67.52739352935885
2013-10-16,TATNP,571,7914260.5,117.99,115.1,118.49,116.92,117.54,116.6,67330,3,-2.22,66.02678478426198
2013-10-17,TATNP,406,4591127.9,117.8,115.33,117.8,115.71,116.17,115.51,39520,3,-0.93,65.40955326269383
2013-10-18,TATNP,506,9586712.9,115.51,114.66,117.97,116.98,115.71,117.2,82850,3,1.46,66.36654525484995
2013-10-21,TATNP,300,3819458.1,134.34,115.99,134.34,116.22,116.84,116.46,32690,3,-0.63,65.94750734112478
2013-10-22,TATNP,237,15267529.2,116.24,116.0,117.65,117.21,117.31,117.21,130150,3,0.64,66.37220792935975
2013-10-23,TATNP,414,10666218.4,117.51,115.23,117.63,115.23,115.96,115.3,91980,3,-1.63,65.29063709798804
2013-10-24,TATNP,195,4542118.6,115.48,115.0,116.55,115.42,115.37,115.4,39370,3,0.09,65.34726384308604
2013-10-25,TATNP,136,10458107.3,115.4,115.25,116.2,115.57,115.62,115.41,90450,3,0.01,65.35292651759583
2013-10-28,TATNP,447,40313896.8,116.0,115.55,117.0,116.48,116.03,116.51,347450,3,0.9500000000000001,65.97582071367378
2013-10-29,TATNP,499,17453159.8,115.47,115.45,117.68,116.52,116.28,116.5,150090,3,-0.01,65.97015803916398
2013-10-30,TATNP,297,17076860.2,116.99,116.07,118.0,117.5,117.2,117.5,145710,3,0.86,66.53642549014393
2013-10-31,TATNP,426,13046253.5,116.51,116.41,118.32,118.2,117.89,118.0,110660,3,0.43,66.8195592156339
2013-11-01,TATNP,392,19500624.2,118.44,118.0,119.25,118.79,118.54,118.87,164500,3,0.74,67.31221189798646
2013-11-05,TATNP,282,6161780.2,118.01,117.12,118.57,118.44,118.2,118.57,52130,3,-0.25,67.14233166269247
2013-11-06,TATNP,1077,33038573.4,117.73,117.55,119.02,118.31,118.33,118.31,279200,3,-0.22,66.9951021254377
2013-11-07,TATNP,239,10177191.3,117.57,117.51,119.73,118.73,118.75,118.8,85700,3,0.41000000000000003,67.27257317641786
2013-11-08,TATNP,764,28049362.9,119.5,117.06,119.5,117.8,118.05,117.8,237600,3,-0.84,66.70630572543791
2013-11-11,TATNP,293,11874085.4,118.06,116.99,118.5,117.22,117.45,117.12,101100,3,-0.58,66.32124385877155
2013-11-12,TATNP,266,5828553.0,117.07,116.93,118.17,117.88,117.51,118.17,49600,3,0.9,66.9158246823005
2013-11-13,TATNP,587,21082882.4,117.0,114.51,118.11,114.56,116.52,114.8,180940,3,-2.85,65.00750337249806
2013-11-14,TATNP,1186,34167354.2,114.9,114.9,116.72,116.09,115.8,115.65,295060,3,0.74,65.48883070583103
2013-11-15,TATNP,346,3676392.2,116.01,115.45,116.52,115.82,115.9,115.94,31720,3,0.25,65.65304826661522
2013-11-18,TATNP,294,50380785.8,115.42,115.19,117.66,117.5,117.31,117.31,429460,3,1.18,66.42883467445775
