TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2013-07-11,TATN,2,37753.2,198.18,198.18,199.17,198.96,198.7,199.17,190,3,-0.01,120.88234510828086
2013-07-12,TATN,1,20129.0,201.29,201.29,201.29,203.66,201.29,201.29,100,3,1.06,122.16903774085381
2013-07-17,TATN,5,165900.0,207.3,206.0,210.0,210.88,207.38,210.0,800,3,4.33,127.45540228317006
2013-07-18,TATN,4,83598.0,208.0,208.0,209.99,210.42,209.0,209.99,400,3,0.0,127.44933297829944
2013-07-19,TATN,18,462299.2,210.59,210.0,214.7,211.33,212.06,211.0,2180,3,0.48,128.06233277023279
2013-07-22,TATN,3,85600.0,215.0,213.0,215.0,211.06,214.0,213.0,400,3,0.9500000000000001,129.2761937443582
2013-07-23,TATN,4,84240.0,211.2,210.0,211.2,210.45,210.6,210.0,400,3,-1.4100000000000001,127.45540228317006
2013-07-24,TATN,3,82800.0,207.0,207.0,207.0,206.37,207.0,207.0,400,3,-1.43,125.63461082198192
2013-07-25,TATN,2,41200.0,206.0,206.0,206.0,206.47,206.0,206.0,200,3,-0.48,125.0276803349192
2013-07-26,TATN,7,164200.0,209.0,203.0,209.0,203.59,205.25,204.0,800,3,-0.97,123.81381936079377
2013-07-30,TATN,2,82100.0,205.0,205.0,205.5,203.03,205.25,205.5,400,3,0.74,124.72421509138785
2013-08-01,TATN,1,41200.0,206.0,206.0,206.0,206.88,206.0,206.0,200,3,0.24,125.0276803349192
2013-08-05,TATN,2,41800.0,209.0,209.0,209.0,208.18,209.0,209.0,200,3,1.46,126.84847179610735
2013-08-06,TATN,10,251028.0,205.7,201.0,209.0,200.75,202.44,201.13,1240,3,-3.77,122.07192886292378
2013-08-07,TATN,3,64681.8,189.09,189.09,203.0,200.95,202.13,203.0,320,3,0.93,123.20688887373106
2013-08-08,TATN,2,40300.0,201.5,201.5,201.5,204.08,201.5,201.5,200,3,-0.74,122.29649314313698
2013-08-09,TATN,4,122700.0,205.0,203.5,205.0,206.74,204.5,205.0,600,3,1.74,124.42074984785648
2013-08-13,TATN,7,188100.0,208.0,208.0,209.8,209.78,209.0,209.0,900,3,1.9500000000000002,126.84847179610735
2013-08-14,TATN,3,94835.0,210.0,210.0,212.6,212.76,210.74,212.6,450,3,1.72,129.0334215495331
2013-08-15,TATN,6,143872.0,207.6,204.0,207.6,204.72,205.53,204.0,700,3,-4.05,123.81381936079377
2013-08-19,TATN,5,175260.0,204.4,204.4,208.0,207.75,206.19,208.0,850,3,1.96,126.24154130904463
2013-08-20,TATN,3,86376.0,204.5,204.5,207.8,207.73,205.66,207.8,420,3,-0.1,126.1201552116321
2013-08-21,TATN,7,87374.2,204.21,204.21,209.0,207.97,208.03,208.0,420,3,0.1,126.24154130904463
2013-08-22,TATN,3,123900.0,210.0,210.0,210.0,209.74,210.0,210.0,590,3,0.96,127.45540228317006
2013-08-26,TATN,4,8416.9,210.31,210.31,210.5,209.15,210.42,210.48,40,3,0.23,127.74672891696015
2013-08-27,TATN,50,4248572.1,207.09,204.0,207.09,204.64,206.74,204.0,20550,3,-3.08,123.81381936079377
2013-08-28,TATN,8,46404.2,202.1,201.1,205.79,203.28,201.76,203.53,230,3,-0.23,123.5285620318743
